,nmos length,nmos width,pmos length,pmos width,switching point
92,50.0,500.0,500.0,1100.0,3.835310719978659e-09
93,50.0,500.0,500.0,1150.0,3.8593107199786665e-09
94,50.0,500.0,500.0,1200.0,3.882810719978673e-09
95,50.0,500.0,500.0,1250.0,3.90481071997868e-09
96,50.0,500.0,500.0,1300.0,3.926310719978687e-09
97,50.0,500.0,500.0,1350.0,3.9473107199786935e-09
98,50.0,500.0,500.0,1400.0,3.9678107199787e-09
99,50.0,500.0,500.0,1450.0,3.9848107199787046e-09
100,50.0,550.0,50.0,1000.0,4.8143107199789594e-09
101,50.0,550.0,50.0,1050.0,4.844310719978969e-09
102,50.0,550.0,50.0,1100.0,4.986810719979012e-09
103,50.0,550.0,50.0,1150.0,5.000810719979016e-09
104,50.0,550.0,50.0,1200.0,5.013810719979021e-09
